server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_usage : 74%, batch_size : 4, current_iteration: 180
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 698
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 181
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 719
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 185
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 710
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 708
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 184
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 184
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 79%, batch_size : 4, current_iteration: 188
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 698
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 718
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 181
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 184
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 183
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 692
teration: 180
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 700
teration: 187
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 187
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 716
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 180
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 708
teration: 181
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 708
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 706
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 182
################# start ###################server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 718
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 715
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 721
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 722
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 701
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 180
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 719
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 721
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 716
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1644625920MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 180
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 75%, batch_size : 4, current_iteration: 187
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 76%, batch_size : 4, current_iteration: 187
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 469
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 722
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 702
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 78%, batch_size : 4, current_iteration: 179
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 710
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 718
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 720
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 706
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 80%, batch_size : 4, current_iteration: 187
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 700
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 180
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 77%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 75%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 180
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 708
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 79%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 700
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 179
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 712
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 188
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 708
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 186
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 77%, batch_size : 4, current_iteration: 188
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 716
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 706
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 78%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 712
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 186
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 184
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 721
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 720
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
teration: 195
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 184
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 75%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 698
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 712
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 715
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 703
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 189
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 718
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 718
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 698
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 180
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 696
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 716
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
